date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:29:13	2497/2497	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/login4.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login4.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:13	12582/12582	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form3.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form3.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:14	2497/2497	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/login5.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login5.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:14	13162/13162	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form4.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form4.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:15	2497/2497	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:26%20GMT	http://brandio.io/envato/iofrm/html/login6.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login6.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:15	82881/82881	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:28%20GMT	http://brandio.io/envato/iofrm/html/images/img1.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/images/img1.jpg	(from http://brandio.io/envato/iofrm/html/css/iofrm-style.css)
22:29:15	13637/13637	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:30%20GMT	http://brandio.io/envato/iofrm/html/img/form5.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form5.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:16	2497/2497	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:26%20GMT	http://brandio.io/envato/iofrm/html/login7.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login7.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:16	13432/13432	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:30%20GMT	http://brandio.io/envato/iofrm/html/img/form6.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form6.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:16	12389/12389	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:30%20GMT	http://brandio.io/envato/iofrm/html/img/form7.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form7.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:17	2846/2846	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:28%20GMT	http://brandio.io/envato/iofrm/html/login8.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login8.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:17	14035/14035	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:30%20GMT	http://brandio.io/envato/iofrm/html/img/form8.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form8.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:18	2608/2608	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:28%20GMT	http://brandio.io/envato/iofrm/html/login9.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login9.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:18	14210/14210	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:30%20GMT	http://brandio.io/envato/iofrm/html/img/form9.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form9.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:18	2401/2401	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login10.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login10.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:19	9809/9809	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/img/form10.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form10.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:19	2401/2401	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login11.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login11.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:20	8814/8814	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/img/form11.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form11.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:20	2401/2401	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login12.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login12.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:21	10060/10060	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/img/form12.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form12.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:21	2722/2722	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login13.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login13.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:21	10505/10505	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:26%20GMT	http://brandio.io/envato/iofrm/html/img/form13.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form13.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:22	2475/2475	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login14.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login14.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:22	9892/9892	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:28%20GMT	http://brandio.io/envato/iofrm/html/img/form14.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form14.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:23	2722/2722	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login15.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login15.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:23	10213/10213	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form15.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form15.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:24	3953/3953	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/profile1.html	G:/prject/online/login/brandio.io/envato/iofrm/html/profile1.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:24	11289/11289	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:28%20GMT	http://brandio.io/envato/iofrm/html/img/form15-p.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form15-p.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:25	2589/2589	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login16.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login16.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:25	10374/10374	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form16.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form16.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:26	2589/2589	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login17.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login17.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:26	12252/12252	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form17.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form17.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:27	2589/2589	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login18.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login18.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:27	9659/9659	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form18.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form18.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:28	2589/2589	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/login19.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login19.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:28	9526/9526	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form19.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form19.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:29	2589/2589	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/login20.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login20.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:29	9817/9817	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form20.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form20.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:30	2589/2589	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/login21.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login21.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:30	9687/9687	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form21.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form21.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:30	2589/2589	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/login22.html	G:/prject/online/login/brandio.io/envato/iofrm/html/login22.html	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:30	9878/9878	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/img/form22.jpg	G:/prject/online/login/brandio.io/envato/iofrm/html/img/form22.jpg	(from http://brandio.io/envato/iofrm/html/index.html)
22:29:31	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225bfd28e2-4d7%22	http://brandio.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	G:/prject/online/login/brandio.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from http://brandio.io/envato/iofrm/html/forget2.html)
22:29:32	9826/9826	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/css/iofrm-theme1.css	G:/prject/online/login/brandio.io/envato/iofrm/html/css/iofrm-theme1.css	(from http://brandio.io/envato/iofrm/html/login1.html)
22:29:33	2513/2513	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/register1.html	G:/prject/online/login/brandio.io/envato/iofrm/html/register1.html	(from http://brandio.io/envato/iofrm/html/login1.html)
22:29:33	2649/2649	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:23%20GMT	http://brandio.io/envato/iofrm/html/forget1.html	G:/prject/online/login/brandio.io/envato/iofrm/html/forget1.html	(from http://brandio.io/envato/iofrm/html/login1.html)
22:29:35	9800/9800	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/css/iofrm-theme3.css	G:/prject/online/login/brandio.io/envato/iofrm/html/css/iofrm-theme3.css	(from http://brandio.io/envato/iofrm/html/login3.html)
22:29:35	2587/2587	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/register3.html	G:/prject/online/login/brandio.io/envato/iofrm/html/register3.html	(from http://brandio.io/envato/iofrm/html/login3.html)
22:29:36	2649/2649	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/forget3.html	G:/prject/online/login/brandio.io/envato/iofrm/html/forget3.html	(from http://brandio.io/envato/iofrm/html/login3.html)
22:29:37	9871/9871	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/css/iofrm-theme4.css	G:/prject/online/login/brandio.io/envato/iofrm/html/css/iofrm-theme4.css	(from http://brandio.io/envato/iofrm/html/login4.html)
22:29:38	163279/163279	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/images/graphic1.svg	G:/prject/online/login/brandio.io/envato/iofrm/html/images/graphic1.svg	(from http://brandio.io/envato/iofrm/html/login4.html)
22:29:39	2571/2571	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/register4.html	G:/prject/online/login/brandio.io/envato/iofrm/html/register4.html	(from http://brandio.io/envato/iofrm/html/login4.html)
22:29:39	2707/2707	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Aug%202018%2010:13:24%20GMT	http://brandio.io/envato/iofrm/html/forget4.html	G:/prject/online/login/brandio.io/envato/iofrm/html/forget4.html	(from http://brandio.io/envato/iofrm/html/login4.html)
22:29:40	9831/9831	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2010:13:29%20GMT	http://brandio.io/envato/iofrm/html/css/iofrm-theme5.css	G:/prject/online/login/brandio.io/envato/iofrm/html/css/iofrm-theme5.css	(from http://brandio.io/envato/iofrm/html/login5.html)
22:29:41	57018/57018	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2028%20Aug%202018%2010:13:25%20GMT	http://brandio.io/envato/iofrm/html/images/graphic2.svg	G:/prject/online/login/brandio.io/envato/iofrm/html/images/graphic2.svg	(from http://brandio.io/envato/iofrm/html/login5.html)
